n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
45.0,0.44,etngrp_geslacht,3,0.3,69.7,6075.110000000001,0.23144591647407312
45.0,0.44,etngrp_geslacht_lft,0,0.05,7174.9,5718315.6899999995,0.0470804056787586
45.0,0.44,etngrp_geslacht_lft,1,0.13333333333333333,7174.9,5718315.6899999995,0.0470804056787586
45.0,0.44,etngrp_geslacht_lft,2,0.21666666666666667,4218.25,8089668.8875,0.0470804056787586
45.0,0.44,etngrp_geslacht_lft,3,0.3,168.95,24025.3475,0.0470804056787586
45.0,0.44,etngrp_geslacht_lft_oplniv,0,0.05,7958.0,0.0,0.0358351895167103
45.0,0.44,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,6367.7,10116223.31,0.0358351895167103
45.0,0.44,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,6077.9,6793651.390000001,0.0358351895167103
45.0,0.44,etngrp_geslacht_lft_oplniv,3,0.3,115.2,14587.460000000003,0.0358351895167103
45.0,0.44,etngrp_geslacht_oplniv,0,0.05,8592.0,0.0,0.1060721609694625
45.0,0.44,etngrp_geslacht_oplniv,1,0.13333333333333333,8592.0,0.0,0.1060721609694625
45.0,0.44,etngrp_geslacht_oplniv,2,0.21666666666666667,3587.1,4278656.89,0.1060721609694625
45.0,0.44,etngrp_geslacht_oplniv,3,0.3,273.1,40149.59000000001,0.1060721609694625
45.0,0.44,etngrp_lft,0,0.05,7589.6,3030886.8400000003,0.08637181639362558
45.0,0.44,etngrp_lft,1,0.13333333333333333,7190.3,5741295.31,0.08637181639362558
45.0,0.44,etngrp_lft,2,0.21666666666666667,5077.15,8617808.227500001,0.08637181639362558
45.0,0.44,etngrp_lft,3,0.3,162.4,33185.340000000004,0.08637181639362558
45.0,0.44,etngrp_lft_oplniv,0,0.05,7581.05,3024060.9475000002,0.06990681106920812
45.0,0.44,etngrp_lft_oplniv,1,0.13333333333333333,7581.55,3016485.6475,0.06990681106920812
45.0,0.44,etngrp_lft_oplniv,2,0.21666666666666667,6336.9,7345607.089999999,0.06990681106920812
45.0,0.44,etngrp_lft_oplniv,3,0.3,171.05,29968.247500000005,0.06990681106920812
45.0,0.44,etngrp_oplniv,0,0.05,8595.0,0.0,0.2076092668114412
45.0,0.44,etngrp_oplniv,1,0.13333333333333333,8165.9,3498409.3900000006,0.2076092668114412
45.0,0.44,etngrp_oplniv,2,0.21666666666666667,4430.3,1056122.71,0.2076092668114412
45.0,0.44,etngrp_oplniv,3,0.3,124.75,22550.4875,0.2076092668114412
45.0,0.44,geslacht,0,0.05,8599.0,0.0,0.5047082730751882
45.0,0.44,geslacht,1,0.13333333333333333,8169.1,3511466.1900000004,0.5047082730751882
45.0,0.44,geslacht,2,0.21666666666666667,1927.05,1172555.9475,0.5047082730751882
45.0,0.44,geslacht,3,0.3,135.3,14350.810000000001,0.5047082730751882
45.0,0.44,geslacht_lft,0,0.05,6374.6,10155694.240000002,0.10241017079987165
45.0,0.44,geslacht_lft,1,0.13333333333333333,5976.55,11897620.747499999,0.10241017079987165
45.0,0.44,geslacht_lft,2,0.21666666666666667,4858.25,8023825.0875,0.10241017079987165
45.0,0.44,geslacht_lft,3,0.3,171.2,37527.36,0.10241017079987165
45.0,0.44,geslacht_lft_oplniv,0,0.05,7957.0,0.0,0.09310987830567272
45.0,0.44,geslacht_lft_oplniv,1,0.13333333333333333,7957.0,0.0,0.09310987830567272
45.0,0.44,geslacht_lft_oplniv,2,0.21666666666666667,6619.05,4816119.4475,0.09310987830567272
45.0,0.44,geslacht_lft_oplniv,3,0.3,129.15,22671.427500000005,0.09310987830567272
45.0,0.44,geslacht_oplniv,0,0.05,8599.0,0.0,0.19038745018530834
45.0,0.44,geslacht_oplniv,1,0.13333333333333333,8599.0,0.0,0.19038745018530834
45.0,0.44,geslacht_oplniv,2,0.21666666666666667,4344.55,996885.0474999998,0.19038745018530834
45.0,0.44,geslacht_oplniv,3,0.3,241.3,52911.51000000001,0.19038745018530834
45.0,0.44,lft,0,0.05,6759.45,8058994.647499999,0.1923835254618758
45.0,0.44,lft,1,0.13333333333333333,6759.4,8059670.340000001,0.1923835254618758
45.0,0.44,lft,2,0.21666666666666667,4582.4,6959905.039999999,0.1923835254618758
45.0,0.44,lft,3,0.3,193.45,20594.247499999998,0.1923835254618758
45.0,0.44,lft_oplniv,0,0.05,5972.5,11886270.75,0.18090463945091073
45.0,0.44,lft_oplniv,1,0.13333333333333333,7168.05,5687525.147499999,0.18090463945091073
