n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
23.0,0.22,combined_score,lft,2,0.15000000000000002,8.0
23.0,0.22,combined_score,lft,3,0.2,8.0
23.0,0.22,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7957.0
23.0,0.22,internal_density,etngrp_geslacht_lft_oplniv,1,0.1,7957.0
23.0,0.22,internal_density,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
23.0,0.22,internal_density,etngrp_geslacht_lft_oplniv,3,0.2,8.0
23.0,0.22,internal_density,geslacht,0,0.05,8601.0
23.0,0.22,internal_density,geslacht,1,0.1,17.5
23.0,0.22,internal_density,geslacht,2,0.15000000000000002,9.0
23.0,0.22,internal_density,geslacht,3,0.2,9.0
23.0,0.22,internal_density,lft,0,0.05,8005.0
23.0,0.22,internal_density,lft,1,0.1,8.0
23.0,0.22,internal_density,lft,2,0.15000000000000002,8.0
23.0,0.22,internal_density,lft,3,0.2,8.0
23.0,0.22,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7958.0
23.0,0.22,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.1,15.5
23.0,0.22,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,9.0
23.0,0.22,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.2,8.0
23.0,0.22,external_exposure_ratio,geslacht,0,0.05,8601.0
23.0,0.22,external_exposure_ratio,geslacht,1,0.1,8.0
23.0,0.22,external_exposure_ratio,geslacht,2,0.15000000000000002,8.0
23.0,0.22,external_exposure_ratio,geslacht,3,0.2,8.0
23.0,0.22,external_exposure_ratio,lft,0,0.05,8005.0
23.0,0.22,external_exposure_ratio,lft,1,0.1,27.0
23.0,0.22,external_exposure_ratio,lft,2,0.15000000000000002,14.0
23.0,0.22,external_exposure_ratio,lft,3,0.2,10.5
23.0,0.22,random,etngrp_geslacht_lft_oplniv,0,0.05,7957.0
23.0,0.22,random,etngrp_geslacht_lft_oplniv,1,0.1,18.5
23.0,0.22,random,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,10.0
23.0,0.22,random,etngrp_geslacht_lft_oplniv,3,0.2,8.0
23.0,0.22,random,geslacht,0,0.05,8601.0
23.0,0.22,random,geslacht,1,0.1,12.0
23.0,0.22,random,geslacht,2,0.15000000000000002,9.0
23.0,0.22,random,geslacht,3,0.2,8.0
23.0,0.22,random,lft,0,0.05,8005.0
23.0,0.22,random,lft,1,0.1,14.0
23.0,0.22,random,lft,2,0.15000000000000002,8.0
23.0,0.22,random,lft,3,0.2,8.0
23.0,0.22,size,etngrp_geslacht_lft_oplniv,0,0.05,7957.0
23.0,0.22,size,etngrp_geslacht_lft_oplniv,1,0.1,8.0
23.0,0.22,size,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
23.0,0.22,size,etngrp_geslacht_lft_oplniv,3,0.2,8.0
23.0,0.22,size,geslacht,0,0.05,8601.0
23.0,0.22,size,geslacht,1,0.1,17.5
23.0,0.22,size,geslacht,2,0.15000000000000002,9.0
